Date/Time: 3/4/2016 3:02:21 PM,,
Material:  Al 6061 T6,,
Time (ms),Displacement (um),Load (N)
107626,1077,570.443823
107726,1078,570.571535
107826,1079,571.006801
107926,1080,571.470737
108026,1081,571.993316
108126,1082,572.445523
108226,1083,572.544565
108326,1084,572.813022
108426,1085,573.214405
108526,1086,573.778686
108626,1087,574.174856
108726,1088,574.606212
108826,1089,574.590574
108926,1090,574.950254
109026,1091,575.313844
109126,1092,576.061875
109226,1093,576.253444
109326,1094,576.773417
109426,1095,576.691316
109526,1096,577.303815
109626,1097,578.059665
109726,1098,578.395888
109826,1099,578.583548
109926,1100,578.98493
110026,1101,579.310728
110126,1102,579.869796
110226,1103,580.359796
110326,1104,580.336338
110426,1105,580.543546
110526,1106,580.976205
110626,1107,581.59131
110726,1108,582.143863
110826,1109,582.519182
110926,1110,582.404501
111026,1111,582.77591
111126,1112,583.228117
111226,1113,583.980058
111326,1114,584.363196
111426,1115,584.68378
111526,1116,584.65902
111626,1117,585.156838
111726,1118,585.532157
111826,1119,585.980454
111926,1120,586.178539
112026,1121,586.643778
112126,1122,586.900507
112226,1123,587.450453
112326,1124,587.828378
112426,1125,588.062952
112526,1126,588.283191
112626,1127,588.706728
112726,1128,589.252765
112826,1129,589.72061
112926,1130,590.188455
113026,1131,590.049014
113126,1132,590.455609
113226,1133,590.707125
113326,1134,591.47731
113426,1135,591.597204
113526,1136,592.032469
113626,1137,592.041591
113726,1138,592.538107
113826,1139,592.873027
113926,1140,593.489435
114026,1141,593.593691
114126,1142,593.916882
114226,1143,594.126695
114326,1144,594.667519
114426,1145,595.161428
114526,1146,595.75047
114626,1147,595.548476
114726,1148,595.906853
114826,1149,596.442464
114926,1150,597.088846
115026,1151,597.48241
115126,1152,597.495442
115226,1153,597.819936
115326,1154,598.196558
115426,1155,598.897674
115526,1156,599.352487
115626,1157,599.74996
115726,1158,599.597487
115826,1159,600.161768
115926,1160,600.458896
116026,1161,601.17956
116126,1162,601.367219
116226,1163,601.627857
116326,1164,601.758176
116426,1165,602.291181
116526,1166,602.835914
116626,1167,603.160409
116726,1168,603.263361
116826,1169,603.623041
116926,1170,604.032243
117026,1171,604.810247
117126,1172,605.177747
117226,1173,605.314582
117326,1174,605.847587
117426,1175,606.590405
117526,1176,606.679022
117626,1177,607.313675
117726,1178,607.626441
117826,1179,607.721574
117926,1180,607.853196
118026,1181,608.249366
118126,1182,608.963514
118226,1183,608.979152
118326,1184,609.397476
118426,1185,609.564285
118526,1186,610.170268
118626,1187,610.492156
118726,1188,611.03298
118826,1189,611.347049
118926,1190,611.404389
119026,1191,611.915239
119126,1192,612.531648
119226,1193,612.833988
119326,1194,613.283589
119426,1195,613.232765
119526,1196,613.683668
119626,1197,614.361327
119726,1198,614.859146
119826,1199,615.08981
119926,1200,615.237071
120026,1201,615.459916
120126,1202,615.857389
120226,1203,616.643213
120326,1204,616.807415
120426,1205,617.247893
120526,1206,617.292202
120626,1207,617.607574
120726,1208,618.164036
120826,1209,618.676189
120926,1210,618.745258
121026,1211,619.15446
121126,1212,619.5793
121226,1213,620.135762
121326,1214,620.565815
121426,1215,620.767809
121526,1216,620.918979
121626,1217,621.316452
121726,1218,621.867702
