Date/Time: 3/4/2016 3:02:21 PM
Material:  Al 6061 T6
Time (ms)	Displacement (um)	Load (N)
48526	486.000000	336.144589	
48626	487.000000	336.594189	
48726	488.000000	336.990359	
48826	489.000000	337.344827	
48926	490.000000	338.148895	
49026	491.000000	338.788762	
49126	492.000000	339.407777	
49226	493.000000	339.571979	
49326	494.000000	339.990303	
49426	495.000000	340.407324	
49526	496.000000	341.253094	
49626	497.000000	341.861684	
49726	498.000000	342.076710	
49826	499.000000	342.612321	
49926	500.000000	343.250884	
50026	501.000000	344.169633	
50126	502.000000	344.684393	
50226	503.000000	345.175696	
50326	504.000000	345.281254	
50426	505.000000	345.913301	
50526	506.000000	346.507556	
50626	507.000000	347.292077	
50726	508.000000	347.779470	
50826	509.000000	348.050533	
50926	510.000000	348.501437	
51026	511.000000	349.287260	
51126	512.000000	349.779866	
51226	513.000000	350.376727	
51326	514.000000	350.788535	
51426	515.000000	351.389306	
51526	516.000000	351.921008	
51626	517.000000	352.735501	
51726	518.000000	353.304995	
51826	519.000000	353.358426	
51926	520.000000	353.874489	
52026	521.000000	354.458319	
52126	522.000000	355.289754	
52226	523.000000	355.870977	
52326	524.000000	356.385737	
52426	525.000000	356.457412	
52526	526.000000	357.195018	
52626	527.000000	357.703262	
52726	528.000000	358.537303	
52826	529.000000	358.988207	
52926	530.000000	359.414350	
53026	531.000000	359.677595	
53126	532.000000	360.253605	
53226	533.000000	360.815280	
53326	534.000000	361.413444	
53426	535.000000	361.745757	
53526	536.000000	362.217512	
53626	537.000000	362.824799	
53726	538.000000	363.535037	
53826	539.000000	364.151446	
53926	540.000000	364.601047	
54026	541.000000	364.728759	
54126	542.000000	365.217455	
54226	543.000000	366.073651	
54326	544.000000	366.600140	
54426	545.000000	367.124023	
54526	546.000000	367.176150	
54626	547.000000	367.872054	
54726	548.000000	368.373782	
54826	549.000000	369.210430	
54926	550.000000	369.871147	
55026	551.000000	370.176094	
55126	552.000000	370.414577	
55226	553.000000	371.145667	
55326	554.000000	371.518379	
55426	555.000000	371.995347	
55526	556.000000	372.219496	
55626	557.000000	372.744681	
55726	558.000000	373.318085	
55826	559.000000	374.092180	
55926	560.000000	374.609546	
56026	561.000000	374.914493	
